	Phase	Room	Time	Mouse One	Mouse Two
193	PHASE 3 light	1	6395.839999914169	0065-0136651817	0065-0136670531
194	PHASE 1 dark	2	1003.4169993400574	0065-0136651817	0065-0136670531
195	PHASE 1 light	2	51.71600008010864	0065-0136651817	0065-0136670531
196	PHASE 2 dark	2	883.1849999427795	0065-0136651817	0065-0136670531
197	PHASE 2 light	2	32368.507001399994	0065-0136651817	0065-0136670531
198	PHASE 3 dark	2	10689.135000705719	0065-0136651817	0065-0136670531
199	PHASE 3 light	2	20276.341000318527	0065-0136651817	0065-0136670531
200	PHASE 1 dark	3	12096.063999652863	0065-0136651817	0065-0136670531
201	PHASE 1 light	3	20.47499990463257	0065-0136651817	0065-0136670531
202	PHASE 2 dark	3	143.11100029945374	0065-0136651817	0065-0136670531
203	PHASE 2 light	3	1.3459999561309814	0065-0136651817	0065-0136670531
204	PHASE 3 dark	3	59.37400007247925	0065-0136651817	0065-0136670531
205	PHASE 1 dark	4	303.9389991760254	0065-0136651817	0065-0136670531
206	PHASE 1 light	4	793.6050002574921	0065-0136651817	0065-0136670531
207	PHASE 2 dark	4	1082.1410002708435	0065-0136651817	0065-0136670531
208	PHASE 2 light	4	35.8129997253418	0065-0136651817	0065-0136670531
209	PHASE 3 dark	4	321.6139998435974	0065-0136651817	0065-0136670531
210	PHASE 3 light	4	11.56499981880188	0065-0136651817	0065-0136670531
211	PHASE 1 dark	1	8413.506000757217	0065-0136651817	0065-0136671473
212	PHASE 1 light	1	25466.889000415802	0065-0136651817	0065-0136671473
213	PHASE 2 dark	1	13145.11899805069	0065-0136651817	0065-0136671473
214	PHASE 2 light	1	282.22899985313416	0065-0136651817	0065-0136671473
215	PHASE 3 dark	1	11897.106998443604	0065-0136651817	0065-0136671473
216	PHASE 3 light	1	9017.2530002594	0065-0136651817	0065-0136671473
217	PHASE 1 dark	2	1576.177000284195	0065-0136651817	0065-0136671473
218	PHASE 1 light	2	54.658000230789185	0065-0136651817	0065-0136671473
219	PHASE 2 dark	2	2961.629998922348	0065-0136651817	0065-0136671473
220	PHASE 2 light	2	32403.069001436234	0065-0136651817	0065-0136671473
221	PHASE 3 dark	2	6407.295999765396	0065-0136651817	0065-0136671473
222	PHASE 3 light	2	19492.560000896454	0065-0136651817	0065-0136671473
223	PHASE 1 dark	3	4575.293000221252	0065-0136651817	0065-0136671473
224	PHASE 1 light	3	47.20899963378906	0065-0136651817	0065-0136671473
225	PHASE 2 dark	3	519.0939996242523	0065-0136651817	0065-0136671473
226	PHASE 2 light	3	179.3710000514984	0065-0136651817	0065-0136671473
227	PHASE 3 dark	3	791.578999042511	0065-0136651817	0065-0136671473
228	PHASE 3 light	3	6.454999923706055	0065-0136651817	0065-0136671473
229	PHASE 1 dark	4	1000.1649992465973	0065-0136651817	0065-0136671473
230	PHASE 1 light	4	294.3069996833801	0065-0136651817	0065-0136671473
231	PHASE 2 dark	4	1622.0810008049011	0065-0136651817	0065-0136671473
232	PHASE 2 light	4	518.2530002593994	0065-0136651817	0065-0136671473
233	PHASE 3 dark	4	1846.376000404358	0065-0136651817	0065-0136671473
234	PHASE 3 light	4	263.61299991607666	0065-0136651817	0065-0136671473
235	PHASE 1 dark	1	6999.102998495102	0065-0136651817	0065-0136673193
236	PHASE 1 light	1	29149.186000585556	0065-0136651817	0065-0136673193
237	PHASE 2 dark	1	18988.67499923706	0065-0136651817	0065-0136673193
238	PHASE 2 light	1	68.07899975776672	0065-0136651817	0065-0136673193
239	PHASE 3 dark	1	6885.931999206543	0065-0136651817	0065-0136673193
240	PHASE 3 light	1	6066.881999731064	0065-0136651817	0065-0136673193
241	PHASE 1 dark	2	539.6160008907318	0065-0136651817	0065-0136673193
242	PHASE 1 light	2	7.180999994277954	0065-0136651817	0065-0136673193
243	PHASE 2 dark	2	1332.958000421524	0065-0136651817	0065-0136673193
244	PHASE 2 light	2	32363.820001125336	0065-0136651817	0065-0136673193
245	PHASE 3 dark	2	10372.577000617981	0065-0136651817	0065-0136673193
246	PHASE 3 light	2	20704.47800040245	0065-0136651817	0065-0136673193
247	PHASE 1 dark	3	10629.307998895645	0065-0136651817	0065-0136673193
248	PHASE 1 light	3	28.277999877929688	0065-0136651817	0065-0136673193
249	PHASE 2 dark	3	36.70700025558472	0065-0136651817	0065-0136673193
250	PHASE 2 light	3	16.55900001525879	0065-0136651817	0065-0136673193
251	PHASE 3 dark	3	194.61800003051758	0065-0136651817	0065-0136673193
252	PHASE 1 dark	4	583.6670000553131	0065-0136651817	0065-0136673193
253	PHASE 1 light	4	721.9500000476837	0065-0136651817	0065-0136673193
254	PHASE 2 dark	4	1236.391000032425	0065-0136651817	0065-0136673193
255	PHASE 2 light	4	406.3340001106262	0065-0136651817	0065-0136673193
256	PHASE 3 dark	4	821.42999958992	0065-0136651817	0065-0136673193
257	PHASE 3 light	4	19.46499991416931	0065-0136651817	0065-0136673193
258	PHASE 1 dark	1	10569.424000740051	0065-0136653169	0065-0136655780
259	PHASE 1 light	1	31011.756000995636	0065-0136653169	0065-0136655780
260	PHASE 2 dark	1	21304.70699954033	0065-0136653169	0065-0136655780
261	PHASE 2 light	1	34.98100018501282	0065-0136653169	0065-0136655780
262	PHASE 3 dark	1	8384.101999282837	0065-0136653169	0065-0136655780
263	PHASE 3 light	1	6703.334000110626	0065-0136653169	0065-0136655780
264	PHASE 1 dark	2	557.5760004520416	0065-0136653169	0065-0136655780
265	PHASE 1 light	2	67.46000027656555	0065-0136653169	0065-0136655780
266	PHASE 2 dark	2	1300.7880001068115	0065-0136653169	0065-0136655780
267	PHASE 2 light	2	37859.07200074196	0065-0136653169	0065-0136655780
268	PHASE 3 dark	2	6060.040999412537	0065-0136653169	0065-0136655780
269	PHASE 3 light	2	22854.90799999237	0065-0136653169	0065-0136655780
270	PHASE 1 dark	3	4174.531000375748	0065-0136653169	0065-0136655780
271	PHASE 1 light	3	61.681999921798706	0065-0136653169	0065-0136655780
272	PHASE 2 dark	3	329.76599979400635	0065-0136653169	0065-0136655780
273	PHASE 2 light	3	20.654000282287598	0065-0136653169	0065-0136655780
274	PHASE 3 dark	3	431.7929992675781	0065-0136653169	0065-0136655780
275	PHASE 3 light	3	25.727999925613403	0065-0136653169	0065-0136655780
276	PHASE 1 dark	4	926.5299990177155	0065-0136653169	0065-0136655780
277	PHASE 1 light	4	972.1470003128052	0065-0136653169	0065-0136655780
278	PHASE 2 dark	4	1632.372000694275	0065-0136653169	0065-0136655780
279	PHASE 3 dark	4	542.3529999256134	0065-0136653169	0065-0136655780
280	PHASE 1 dark	1	10597.99400138855	0065-0136653169	0065-0136659288
281	PHASE 1 light	1	30678.767999649048	0065-0136653169	0065-0136659288
282	PHASE 2 dark	1	12311.464000463486	0065-0136653169	0065-0136659288
283	PHASE 2 light	1	8.001000165939331	0065-0136653169	0065-0136659288
284	PHASE 3 dark	1	10518.429000616074	0065-0136653169	0065-0136659288
285	PHASE 3 light	1	10318.891000270844	0065-0136653169	0065-0136659288
286	PHASE 1 dark	2	655.9820003509521	0065-0136653169	0065-0136659288
287	PHASE 1 light	2	20.062999963760376	0065-0136653169	0065-0136659288
288	PHASE 2 dark	2	1124.6060004234314	0065-0136653169	0065-0136659288
289	PHASE 2 light	2	37264.27399992943	0065-0136653169	0065-0136659288
290	PHASE 3 dark	2	3137.2569992542267	0065-0136653169	0065-0136659288
291	PHASE 3 light	2	18727.29399895668	0065-0136653169	0065-0136659288
292	PHASE 1 dark	3	4154.088000297546	0065-0136653169	0065-0136659288
293	PHASE 1 light	3	93.5310001373291	0065-0136653169	0065-0136659288
294	PHASE 2 dark	3	623.2319991588593	0065-0136653169	0065-0136659288
295	PHASE 2 light	3	14.462999820709229	0065-0136653169	0065-0136659288
296	PHASE 3 dark	3	896.382000207901	0065-0136653169	0065-0136659288
297	PHASE 3 light	3	36.67900013923645	0065-0136653169	0065-0136659288
298	PHASE 1 dark	4	949.2630004882812	0065-0136653169	0065-0136659288
299	PHASE 1 light	4	1047.7560005187988	0065-0136653169	0065-0136659288
300	PHASE 2 dark	4	1799.467000246048	0065-0136653169	0065-0136659288
301	PHASE 2 light	4	699.3500001430511	0065-0136653169	0065-0136659288
302	PHASE 3 dark	4	2924.027999639511	0065-0136653169	0065-0136659288
303	PHASE 3 light	4	299.1879999637604	0065-0136653169	0065-0136659288
304	PHASE 1 dark	1	9148.04800248146	0065-0136653169	0065-0136659459
305	PHASE 1 light	1	24051.31500029564	0065-0136653169	0065-0136659459
306	PHASE 2 dark	1	17135.402001142502	0065-0136653169	0065-0136659459
307	PHASE 2 light	1	12.14300012588501	0065-0136653169	0065-0136659459
308	PHASE 3 dark	1	16742.35400056839	0065-0136653169	0065-0136659459
309	PHASE 3 light	1	13056.703001260757	0065-0136653169	0065-0136659459
310	PHASE 1 dark	2	749.647999048233	0065-0136653169	0065-0136659459
311	PHASE 1 light	2	7.434999942779541	0065-0136653169	0065-0136659459
312	PHASE 2 dark	2	1509.3799991607666	0065-0136653169	0065-0136659459
313	PHASE 2 light	2	35535.40800118446	0065-0136653169	0065-0136659459
314	PHASE 3 dark	2	2570.9699997901917	0065-0136653169	0065-0136659459
315	PHASE 3 light	2	21129.705999851227	0065-0136653169	0065-0136659459
316	PHASE 1 dark	3	8135.698999881744	0065-0136653169	0065-0136659459
317	PHASE 1 light	3	150.24200010299683	0065-0136653169	0065-0136659459
318	PHASE 2 dark	3	688.6310005187988	0065-0136653169	0065-0136659459
319	PHASE 2 light	3	84.47999978065491	0065-0136653169	0065-0136659459
320	PHASE 3 dark	3	1092.9909994602203	0065-0136653169	0065-0136659459
321	PHASE 3 light	3	56.829999923706055	0065-0136653169	0065-0136659459
322	PHASE 1 dark	4	779.3610005378723	0065-0136653169	0065-0136659459
323	PHASE 1 light	4	855.2490003108978	0065-0136653169	0065-0136659459
324	PHASE 2 dark	4	1438.3550000190735	0065-0136653169	0065-0136659459
325	PHASE 2 light	4	146.11499977111816	0065-0136653169	0065-0136659459
326	PHASE 3 dark	4	2294.3560009002686	0065-0136653169	0065-0136659459
327	PHASE 3 light	4	287.37199997901917	0065-0136653169	0065-0136659459
328	PHASE 1 dark	1	9509.059000730515	0065-0136653169	0065-0136660676
329	PHASE 1 light	1	30195.385999917984	0065-0136653169	0065-0136660676
330	PHASE 2 dark	1	16428.982000350952	0065-0136653169	0065-0136660676
331	PHASE 2 light	1	28.07800006866455	0065-0136653169	0065-0136660676
332	PHASE 3 dark	1	16698.138999700546	0065-0136653169	0065-0136660676
333	PHASE 3 light	1	7056.121000051498	0065-0136653169	0065-0136660676
334	PHASE 1 dark	2	823.8869993686676	0065-0136653169	0065-0136660676
335	PHASE 1 light	2	5.4700000286102295	0065-0136653169	0065-0136660676
336	PHASE 2 dark	2	916.710000038147	0065-0136653169	0065-0136660676
337	PHASE 2 light	2	35626.654000520706	0065-0136653169	0065-0136660676
338	PHASE 3 dark	2	2479.0570006370544	0065-0136653169	0065-0136660676
339	PHASE 3 light	2	21151.91100025177	0065-0136653169	0065-0136660676
340	PHASE 1 dark	3	10641.834000110626	0065-0136653169	0065-0136660676
341	PHASE 1 light	3	40.991000175476074	0065-0136653169	0065-0136660676
342	PHASE 2 dark	3	1108.9030010700226	0065-0136653169	0065-0136660676
343	PHASE 2 light	3	16.789000034332275	0065-0136653169	0065-0136660676
344	PHASE 3 dark	3	1342.597999572754	0065-0136653169	0065-0136660676
345	PHASE 3 light	3	29.124000310897827	0065-0136653169	0065-0136660676
346	PHASE 1 dark	4	1010.3639996051788	0065-0136653169	0065-0136660676
347	PHASE 1 light	4	913.7259998321533	0065-0136653169	0065-0136660676
348	PHASE 2 dark	4	1337.8700008392334	0065-0136653169	0065-0136660676
349	PHASE 2 light	4	759.5079998970032	0065-0136653169	0065-0136660676
350	PHASE 3 dark	4	2510.6390001773834	0065-0136653169	0065-0136660676
351	PHASE 3 light	4	37.17400002479553	0065-0136653169	0065-0136660676
352	PHASE 1 dark	1	10390.947000026703	0065-0136653169	0065-0136661759
353	PHASE 1 light	1	29897.035999774933	0065-0136653169	0065-0136661759
354	PHASE 2 dark	1	27754.800001382828	0065-0136653169	0065-0136661759
355	PHASE 2 light	1	10.543999910354614	0065-0136653169	0065-0136661759
356	PHASE 3 dark	1	7679.96199965477	0065-0136653169	0065-0136661759
357	PHASE 3 light	1	8853.84900021553	0065-0136653169	0065-0136661759
358	PHASE 1 dark	2	584.5899999141693	0065-0136653169	0065-0136661759
359	PHASE 1 light	2	4.49399995803833	0065-0136653169	0065-0136661759
360	PHASE 2 dark	2	610.5369999408722	0065-0136653169	0065-0136661759
361	PHASE 2 light	2	37292.30100083351	0065-0136653169	0065-0136661759
362	PHASE 3 dark	2	6639.910000085831	0065-0136653169	0065-0136661759
363	PHASE 3 light	2	22894.92699933052	0065-0136653169	0065-0136661759
364	PHASE 1 dark	3	14471.068998336792	0065-0136653169	0065-0136661759
365	PHASE 1 light	3	53.532999753952026	0065-0136653169	0065-0136661759
366	PHASE 2 dark	3	5.009999990463257	0065-0136653169	0065-0136661759
367	PHASE 3 dark	3	194.92799997329712	0065-0136653169	0065-0136661759
368	PHASE 3 light	3	5.358999967575073	0065-0136653169	0065-0136661759
